query_id,iteration,icd11_codes,prevalence,etiqueta,ddx_parsed,match_details
,0,"[""MG47"", ""5B91.0"", ""5A51.2"", ""5B91.0"", ""5B91.0""]","[""N/A"", ""N/A"", ""Desconocido"", ""N/A"", ""N/A""]","[""common"", ""common"", ""unknown"", ""common"", ""common""]",Intoxicación por vitamina D | Síndrome de leche alcalina | Hipercalcemia familiar | Hipercalcemia neoplásica | Hipercalcemia idiopática neonatal,"Intoxicación por vitamina D → MG47 [who_api, 0.0%] → MG47 ;; Síndrome de leche alcalina → 5B91.0 [who_api, 0.0%] → 5B91.0 ;; Hipercalcemia familiar → Hipercalcemia hipocalciúrica familiar [semantic, 0.0%] → 5A51.2 ;; Hipercalcemia neoplásica → 5B91.0 [who_api, 0.0%] → 5B91.0 ;; Hipercalcemia idiopática neonatal → 5B91.0 [who_api, 0.0%] → 5B91.0"
,0,"[""2A60"", ""XH4XG8"", ""2A82.00"", ""NR-HEMAT-006"", ""2A4Z""]","[""1-5 / 10 000"", ""1-9 / 100 000"", ""1-5 / 10 000"", ""N/A"", ""1-9 / 100 000""]","[""unknown"", ""very_rare"", ""unknown"", ""unclassified"", ""very_rare""]",Leucemia mieloide aguda | Leucemia mieloide crónica | Leucemia linfoide aguda | Reacción leukémica | Neoplasia mieloproliferativa,"Leucemia mieloide aguda → Leucemia mieloide aguda [exact, 100.0%] → 2A60 ;; Leucemia mieloide crónica → Leucemia mieloide crónica [exact, 100.0%] → XH4XG8 ;; Leucemia linfoide aguda → Leucemia linfoblástica aguda [semantic_who, 0.0%] → 2A82.00 ;; Reacción leukémica → NR-HEMAT-006 [nr, 0.0%] → NR-HEMAT-006 ;; Neoplasia mieloproliferativa → Neoplasia mieloproliferativa [exact_who, 100.0%] → 2A4Z"
,0,"[""4A41.1"", ""NR-OTR-006"", ""8E4A.3"", ""8D40.2/5B5K.1Z"", ""8C80""]","[""1-9 / 100 000"", ""N/A"", ""1-9 / 100 000"", ""N/A"", ""N/A""]","[""very_rare"", ""unclassified"", ""very_rare"", ""common"", ""common""]",Polimiositis | Síndrome mixto del tejido conectivo | Miopatía necrotizante autoinmune | Miopatía por hipocalcemia | Miopatía inducida por fármacos,"Polimiositis → Polimiositis [exact, 100.0%] → 4A41.1 ;; Síndrome mixto del tejido conectivo → NR-OTR-006 [nr, 0.0%] → NR-OTR-006 ;; Miopatía necrotizante autoinmune → Miopatía necrosante inmunomediada [semantic_who, 0.0%] → 8E4A.3 ;; Miopatía por hipocalcemia → 8D40.2/5B5K.1Z [who_api, 0.0%] → 8D40.2/5B5K.1Z ;; Miopatía inducida por fármacos → 8C80 [who_api, 0.0%] → 8C80"
,0,"[""5A4Y"", ""LD2C"", ""LD2F.1Y"", ""LD2C"", ""5A4Y""]","[""Desconocido"", ""1-5 / 10 000"", ""<1 / 1 000 000"", ""<1 / 1 000 000"", ""N/A""]","[""unknown"", ""unknown"", ""ultra_rare"", ""ultra_rare"", ""common""]",Hiperinsulinismo congénito | Síndrome de Beckwith-Wiedemann | Síndrome de Pallister-Hall | Síndrome de Simpson-Golabi-Behmel | Hiperinsulinismo paraneoplásico,"Hiperinsulinismo congénito → Hiperinsulinismo congénito aislado [fuzzy_validated_who, 86.7%] → 5A4Y ;; Síndrome de Beckwith-Wiedemann → Síndrome de Beckwith-Wiedemann [exact, 100.0%] → LD2C ;; Síndrome de Pallister-Hall → Síndrome de Pallister-Hall [exact, 100.0%] → LD2F.1Y ;; Síndrome de Simpson-Golabi-Behmel → Síndrome de Simpson-Golabi-Behmel [exact, 100.0%] → LD2C ;; Hiperinsulinismo paraneoplásico → 5A4Y [who_api, 0.0%] → 5A4Y"
,0,"[""CA82.4"", ""CB02.11"", ""4A44.A2"", ""4B03.Z"", ""CB02.1Z""]","[""Desconocido"", ""Desconocido"", ""1-9 / 100 000"", ""Desconocido"", ""N/A""]","[""unknown"", ""unknown"", ""very_rare"", ""unknown"", ""common""]",Enfermedad pulmonar alérgica por Aspergillus | Neumonía eosinofílica crónica | Síndrome de Churg‑Strauss | Síndrome de hiper‑eosinofilia | Neumonía eosinofílica inducida por fármacos,"Enfermedad pulmonar alérgica por Aspergillus → Aspergilosis bronco-pulmonar alérgica [semantic, 0.0%] → CA82.4 ;; Neumonía eosinofílica crónica → Neumonía eosinofílica crónica idiopática [semantic, 0.0%] → CB02.11 ;; Síndrome de Churg‑Strauss → Granulomatosis eosinofílica con poliangeítis [semantic, 0.0%] → 4A44.A2 ;; Síndrome de hiper‑eosinofilia → Síndromes hipereosinofílicos [semantic_who, 0.0%] → 4B03.Z ;; Neumonía eosinofílica inducida por fármacos → CB02.1Z [who_api, 0.0%] → CB02.1Z"
,0,"[""2E2Z"", ""2B33.5"", ""4B20.1"", ""4A43.0"", ""8B01""]","[""N/A"", ""N/A"", ""6-9 / 10 000"", ""Desconocido"", ""N/A""]","[""common"", ""common"", ""rare"", ""unknown"", ""common""]",Metástasis leptomeníngea | Linfoma primario meníngeo | Neurosarcoidosis | Enfermedad inflamatoria IgG4 relacionada | Hemorragia subaracnoidea crónica,"Metástasis leptomeníngea → 2E2Z [who_api, 0.0%] → 2E2Z ;; Linfoma primario meníngeo → 2B33.5 [who_api, 0.0%] → 2B33.5 ;; Neurosarcoidosis → Sarcoidosis [semantic, 0.0%] → 4B20.1 ;; Enfermedad inflamatoria IgG4 relacionada → Enfermedad renal relacionada con IgG4 [semantic, 0.0%] → 4A43.0 ;; Hemorragia subaracnoidea crónica → 8B01 [who_api, 0.0%] → 8B01"
,0,"[""NR-GAST-004"", ""4A01.1Y"", ""2B33.5"", ""DD70.Z"", ""DA95""]","[""N/A"", ""N/A"", ""N/A"", ""N/A"", ""N/A""]","[""unclassified"", ""unclassified"", ""common"", ""common"", ""common""]",Enteropatía asociada a deficiencia variable común de inmunoglobulinas | Síndrome de hiper‑IgM | Linfoma EATL | Enfermedad de Crohn | Enfermedad celíaca tipo 2,"Enteropatía asociada a deficiencia variable común de inmunoglobulinas → NR-GAST-004 [nr, 0.0%] → NR-GAST-004 ;; Síndrome de hiper‑IgM → Síndrome de hiper-IgM ligado al cromosoma X [semantic, 0.0%] → 4A01.1Y ;; Linfoma EATL → 2B33.5 [who_api, 0.0%] → 2B33.5 ;; Enfermedad de Crohn → DD70.Z [who_api, 0.0%] → DD70.Z ;; Enfermedad celíaca tipo 2 → DA95 [who_api, 0.0%] → DA95"
,0,"[""NR-NEUR-006"", ""NR-NEUR-007"", ""8E4A.0"", ""1C80"", ""6A4Z""]","[""N/A"", ""N/A"", ""<1 / 1 000 000"", ""N/A"", ""N/A""]","[""unclassified"", ""unclassified"", ""ultra_rare"", ""common"", ""common""]",Encefalitis anti‑NMDAR | Encefalopatía autoinmune por anticuerpos contra GABA‑B o AMPA | Encefalopatía autoinmune tiroidea (Hashimoto) | Encefalitis viral | Síndrome de catatonia psiquiátrica,"Encefalitis anti‑NMDAR → NR-NEUR-006 [nr, 0.0%] → NR-NEUR-006 ;; Encefalopatía autoinmune por anticuerpos contra GABA‑B o AMPA → NR-NEUR-007 [nr, 0.0%] → NR-NEUR-007 ;; Encefalopatía autoinmune tiroidea (Hashimoto) → Encefalopatía sensible a esteroides asociada a tiroiditis autoinmune [semantic, 0.0%] → 8E4A.0 ;; Encefalitis viral → Encefalitis [semantic_who, 0.0%] → 1C80 ;; Síndrome de catatonia psiquiátrica → 6A4Z [who_api, 0.0%] → 6A4Z"
,0,"[""4A43.0"", ""2B31.Y&XH1VJ3"", ""4B2Y"", ""4B20.Z"", ""NR-ONCOL-001""]","[""Desconocido"", ""N/A"", ""Desconocido"", ""N/A"", ""N/A""]","[""unknown"", ""common"", ""unknown"", ""common"", ""unclassified""]",Enfermedad IgG4‑relacionada | Enfermedad de Erdheim‑Chester | Enfermedad de Castleman multifocal | Sarcoidosis sistémica | Linfoma de células B plasmocitos,"Enfermedad IgG4‑relacionada → Enfermedad renal relacionada con IgG4 [semantic, 0.0%] → 4A43.0 ;; Enfermedad de Erdheim‑Chester → 2B31.Y&XH1VJ3 [who_api, 0.0%] → 2B31.Y&XH1VJ3 ;; Enfermedad de Castleman multifocal → Enfermedad de Castleman multicéntrica idiopática [semantic, 0.0%] → 4B2Y ;; Sarcoidosis sistémica → 4B20.Z [who_api, 0.0%] → 4B20.Z ;; Linfoma de células B plasmocitos → NR-ONCOL-001 [nr, 0.0%] → NR-ONCOL-001"
,0,"[""1F2C"", ""1F2Z"", ""RA01"", ""4A44"", ""NR-DERM-001""]","[""N/A"", ""N/A"", ""N/A"", ""1-9 / 100 000"", ""N/A""]","[""common"", ""common"", ""common"", ""very_rare"", ""unclassified""]",Mucormicosis cutánea diseminada | Infección fúngica sistémica | Manifestación cutánea de COVID‑19 | Vasculitis | Necrólisis cutánea por warfarina o ITP,"Mucormicosis cutánea diseminada → 1F2C [who_api, 0.0%] → 1F2C ;; Infección fúngica sistémica → 1F2Z [who_api, 0.0%] → 1F2Z ;; Manifestación cutánea de COVID‑19 → RA01 [who_api, 0.0%] → RA01 ;; Vasculitis → Vasculitis [exact, 100.0%] → 4A44 ;; Necrólisis cutánea por warfarina o ITP → NR-DERM-001 [nr, 0.0%] → NR-DERM-001"
,0,"[""JB4Z"", ""JB4Z"", ""6E20"", ""6B00"", ""6B40""]","[""N/A"", ""N/A"", ""N/A"", ""N/A"", ""N/A""]","[""common"", ""common"", ""common"", ""common"", ""common""]",Trastorno obsesivo compulsivo posparto | Trastorno de ansiedad posparto | Depresión posparto | Trastorno de ansiedad generalizada | Trastorno de estrés postraumático posparto,"Trastorno obsesivo compulsivo posparto → JB4Z [who_api, 0.0%] → JB4Z ;; Trastorno de ansiedad posparto → JB4Z [who_api, 0.0%] → JB4Z ;; Depresión posparto → 6E20 [who_api, 0.0%] → 6E20 ;; Trastorno de ansiedad generalizada → 6B00 [who_api, 0.0%] → 6B00 ;; Trastorno de estrés postraumático posparto → 6B40 [who_api, 0.0%] → 6B40"
,0,"[""EB20"", ""EB21"", ""1G40"", ""EB2Y"", ""NR-OTR-011""]","[""Desconocido"", ""Desconocido"", ""N/A"", ""N/A"", ""N/A""]","[""unknown"", ""unknown"", ""common"", ""common"", ""unclassified""]",Síndrome de Sweet | Pyoderma gangrenoso | Sepsis subclínica | Dermatosis neutrofilica inducida por fármacos | Respuesta inflamatoria sistémica grave,"Síndrome de Sweet → Síndrome de Sweet [exact, 100.0%] → EB20 ;; Pyoderma gangrenoso → Pioderma gangrenoso [fuzzy_validated, 94.7%] → EB21 ;; Sepsis subclínica → 1G40 [who_api, 0.0%] → 1G40 ;; Dermatosis neutrofilica inducida por fármacos → EB2Y [who_api, 0.0%] → EB2Y ;; Respuesta inflamatoria sistémica grave → NR-OTR-011 [nr, 0.0%] → NR-OTR-011"
,0,"[""NR-REN-003"", ""GB90.3"", ""JA61.Y"", ""DC13"", ""DC31.Y""]","[""N/A"", ""Desconocido"", ""N/A"", ""N/A"", ""N/A""]","[""unclassified"", ""unknown"", ""common"", ""common"", ""common""]",Trombo séptico de vena renal | Trombosis de vena renal | Trombosis venosa | Colangitis aguda | Pancreatitis necrotizante,"Trombo séptico de vena renal → NR-REN-003 [nr, 0.0%] → NR-REN-003 ;; Trombosis de vena renal → Trombosis venosa renal neonatal [semantic, 0.0%] → GB90.3 ;; Trombosis venosa → JA61.Y [who_api, 0.0%] → JA61.Y ;; Colangitis aguda → DC13 [who_api, 0.0%] → DC13 ;; Pancreatitis necrotizante → DC31.Y [who_api, 0.0%] → DC31.Y"
,0,"[""2F76&XA1QK0"", ""2C73.2"", ""2F32.Y"", ""2C73.0Z"", ""2C73.1""]","[""N/A"", ""1-9 / 1 000 000"", ""N/A"", ""N/A"", ""Desconocido""]","[""common"", ""ultra_rare"", ""common"", ""common"", ""unknown""]",Tumor granulosa‑célula juvenil | Tumor granulosa‑célula adulta | Cistadenoma seroso | Carcinoma seroso de ovario | Disgerminoma,"Tumor granulosa‑célula juvenil → 2F76&XA1QK0 [who_api, 0.0%] → 2F76&XA1QK0 ;; Tumor granulosa‑célula adulta → Tumor maligno de células de la granulosa de ovario [semantic, 0.0%] → 2C73.2 ;; Cistadenoma seroso → Cistadenoma seroso de la infancia [semantic_who, 0.0%] → 2F32.Y ;; Carcinoma seroso de ovario → 2C73.0Z [who_api, 0.0%] → 2C73.0Z ;; Disgerminoma → Disgerminoma ovárico [semantic, 0.0%] → 2C73.1"
,0,"[""CA40.20"", ""CA40.Z"", ""1F2A"", ""2D70"", ""NR-RESP-005""]","[""N/A"", ""N/A"", ""N/A"", ""N/A"", ""N/A""]","[""common"", ""common"", ""unclassified"", ""common"", ""unclassified""]",Neumonía por Pneumocystis jirovecii | Neumonía organizadora | Histoplasmosis pulmonar | Neoplasia pulmonar metastásica | Enfermedad intersticial idiopática,"Neumonía por Pneumocystis jirovecii → CA40.20 [who_api, 0.0%] → CA40.20 ;; Neumonía organizadora → CA40.Z [who_api, 0.0%] → CA40.Z ;; Histoplasmosis pulmonar → Histoplasmosis [semantic, 0.0%] → 1F2A ;; Neoplasia pulmonar metastásica → 2D70 [who_api, 0.0%] → 2D70 ;; Enfermedad intersticial idiopática → NR-RESP-005 [nr, 0.0%] → NR-RESP-005"
,0,"[""2A85.5"", ""2A83.1"", ""2A83.1"", ""CA0A.Z&XA1R64"", ""4B2Y""]","[""1-9 / 100 000"", ""1-5 / 10 000"", ""1-5 / 10 000"", ""N/A"", ""Desconocido""]","[""very_rare"", ""unknown"", ""unknown"", ""common"", ""unknown""]",Linfoma de células B del manto | Mieloma múltiple | Neoplasia plasmocítica extramedular | Enfermedad del seno maxilar | Enfermedad de Castleman,"Linfoma de células B del manto → Linfoma de células del manto [fuzzy_validated, 96.6%] → 2A85.5 ;; Mieloma múltiple → Mieloma múltiple [exact, 100.0%] → 2A83.1 ;; Neoplasia plasmocítica extramedular → Mieloma múltiple [semantic, 0.0%] → 2A83.1 ;; Enfermedad del seno maxilar → CA0A.Z&XA1R64 [who_api, 0.0%] → CA0A.Z&XA1R64 ;; Enfermedad de Castleman → Enfermedad de Castleman [exact, 100.0%] → 4B2Y"
,0,"[""CA40.0Z"", ""RA01"", ""1E32"", ""NR-INFEC-005"", ""CB00""]","[""N/A"", ""N/A"", ""N/A"", ""N/A"", ""1-5 / 10 000""]","[""common"", ""common"", ""common"", ""unclassified"", ""unknown""]",Neumonía bacteriana | COVID‑19 | Influenza A | Sepsis pulmonar gram‑negativa | Síndrome de distrés respiratorio agudo,"Neumonía bacteriana → CA40.0Z [who_api, 0.0%] → CA40.0Z ;; COVID‑19 → RA01 [who_api, 0.0%] → RA01 ;; Influenza A → 1E32 [who_api, 0.0%] → 1E32 ;; Sepsis pulmonar gram‑negativa → NR-INFEC-005 [nr, 0.0%] → NR-INFEC-005 ;; Síndrome de distrés respiratorio agudo → Síndrome de dificultad respiratoria agudo del adulto [semantic, 0.0%] → CB00"
,0,"[""1A11.1"", ""8C01.0"", ""KA65.4"", ""NR-OTR-013"", ""8C72""]","[""Desconocido"", ""1-9 / 100 000"", ""N/A"", ""N/A"", ""1-9 / 100 000""]","[""unknown"", ""very_rare"", ""common"", ""unclassified"", ""very_rare""]",Botulismo infantil | Síndrome de Guillain‑Barré agudo | Meningitis neonatal | Trastorno del metabolismo de la vía de la urea | Miopatía neuromuscular congénita,"Botulismo infantil → Botulismo infantil [exact, 100.0%] → 1A11.1 ;; Síndrome de Guillain‑Barré agudo → Síndrome de Guillain-Barré [semantic, 0.0%] → 8C01.0 ;; Meningitis neonatal → KA65.4 [who_api, 0.0%] → KA65.4 ;; Trastorno del metabolismo de la vía de la urea → NR-OTR-013 [nr, 0.0%] → NR-OTR-013 ;; Miopatía neuromuscular congénita → Miopatía congénita [semantic, 0.0%] → 8C72"
,0,"[""1H0Z"", ""2C82.Y"", ""2B33.5"", ""2D41"", ""GB21.Y""]","[""N/A"", ""N/A"", ""N/A"", ""N/A"", ""1-9 / 100 000""]","[""common"", ""common"", ""common"", ""common"", ""very_rare""]",Infección periprotésica | Metástasis ósea de carcinoma de próstata | Linfoma de hueso | Carcinoma metastático | Infección granulomatosa,"Infección periprotésica → 1H0Z [who_api, 0.0%] → 1H0Z ;; Metástasis ósea de carcinoma de próstata → 2C82.Y [who_api, 0.0%] → 2C82.Y ;; Linfoma de hueso → 2B33.5 [who_api, 0.0%] → 2B33.5 ;; Carcinoma metastático → 2D41 [who_api, 0.0%] → 2D41 ;; Infección granulomatosa → Mastitis granulomatosa [semantic, 0.0%] → GB21.Y"
,0,"[""NR-NEUR-011"", ""1C31.Z"", ""NR-INFEC-009"", ""1C11.Z"", ""1D01.0Z""]","[""N/A"", ""N/A"", ""N/A"", ""N/A"", ""N/A""]","[""unclassified"", ""common"", ""unclassified"", ""common"", ""common""]",Neuroborreliosis | Fiebre maculosa | Ehrlichiosis granulocítica humana | Bartonelosis | Meningitis bacteriana,"Neuroborreliosis → NR-NEUR-011 [nr, 0.0%] → NR-NEUR-011 ;; Fiebre maculosa → 1C31.Z [who_api, 0.0%] → 1C31.Z ;; Ehrlichiosis granulocítica humana → NR-INFEC-009 [nr, 0.0%] → NR-INFEC-009 ;; Bartonelosis → 1C11.Z [who_api, 0.0%] → 1C11.Z ;; Meningitis bacteriana → 1D01.0Z [who_api, 0.0%] → 1D01.0Z"
,0,"[""NR-GAST-005"", ""DA43.0"", ""DB34.0"", ""DB98.5"", ""2F90.Z""]","[""N/A"", ""N/A"", ""N/A"", ""1-9 / 100 000"", ""N/A""]","[""unclassified"", ""common"", ""common"", ""very_rare"", ""common""]",Várices ectópicas en la hepático‑yeyunostomía | Várices esofágicas o gástricas | Angiodisplasia intestinal | Síndrome de Budd‑Chiari | Neoplasia gastrointestinal oculta,"Várices ectópicas en la hepático‑yeyunostomía → NR-GAST-005 [nr, 0.0%] → NR-GAST-005 ;; Várices esofágicas o gástricas → DA43.0 [who_api, 0.0%] → DA43.0 ;; Angiodisplasia intestinal → Malformación arteriovenosa del tracto gastrointestinal [semantic_who, 0.0%] → DB34.0 ;; Síndrome de Budd‑Chiari → Síndrome de Budd-Chiari [fuzzy_validated, 95.7%] → DB98.5 ;; Neoplasia gastrointestinal oculta → 2F90.Z [who_api, 0.0%] → 2F90.Z"
,0,"[""NR-MUSC-006"", ""NR-MUSC-005"", ""2E81.0Z"", ""2E83.Z"", ""2F7Z""]","[""N/A"", ""N/A"", ""N/A"", ""N/A"", ""N/A""]","[""unclassified"", ""unclassified"", ""common"", ""common"", ""common""]",Fibroma osificante juvenil psamomóide | Fibroma osificante juvenil trabecular | Hemangioma ectópico | Osteoma sinusal | Papiloma invertido nasal,"Fibroma osificante juvenil psamomóide → NR-MUSC-006 [nr, 0.0%] → NR-MUSC-006 ;; Fibroma osificante juvenil trabecular → NR-MUSC-005 [nr, 0.0%] → NR-MUSC-005 ;; Hemangioma ectópico → 2E81.0Z [who_api, 0.0%] → 2E81.0Z ;; Osteoma sinusal → 2E83.Z [who_api, 0.0%] → 2E83.Z ;; Papiloma invertido nasal → 2F7Z [who_api, 0.0%] → 2F7Z"
